"carat","cut","color","clarity","depth","table","price","x","y","z"
0.35,"Ideal","D","VS1",61,56,1065,4.53,4.58,2.78
0.58,"Very Good","E","VS2",61.9,58,1656,5.31,5.36,3.3
1.5,"Premium","E","VS1",62.5,58,16169,7.28,7.21,4.53
1.51,"Very Good","G","VVS2",63.6,57,13500,7.2,7.32,4.62
0.91,"Premium","D","SI2",61.1,60,4123,6.24,6.29,3.83
1.51,"Premium","G","VS2",61.3,58,16091,7.39,7.33,4.51
2.01,"Very Good","J","SI2",61,57,11110,8.09,8.14,4.95
1.01,"Very Good","G","SI1",59.6,61,4588,6.47,6.52,3.87
0.92,"Good","D","SI2",63.3,59,3891,6.12,6.18,3.89
0.36,"Very Good","G","VS1",61.4,55,903,4.63,4.65,2.85
0.7,"Very Good","H","VVS1",60.5,60,2788,5.74,5.77,3.48
1.51,"Premium","J","VS2",60.7,60,7357,7.43,7.36,4.49
0.42,"Very Good","D","SI1",63,57,756,4.77,4.81,3.02
0.5,"Ideal","D","SI1",62.9,57,1654,5.08,5.06,3.19
2.05,"Premium","H","VS2",60.7,61,16235,8.25,8.13,4.97
0.53,"Ideal","D","SI2",61.6,55,1316,5.21,5.24,3.22
1,"Very Good","D","VS1",60.5,59,8077,6.43,6.46,3.9
0.7,"Ideal","I","VVS2",61.6,56.5,2487,5.65,5.72,3.51
0.32,"Premium","D","VVS2",61.5,60,990,4.41,4.37,2.7
0.7,"Ideal","I","VS1",61.9,56,2616,5.69,5.72,3.53
0.57,"Ideal","E","VS2",61.6,56,1728,5.34,5.38,3.3
0.74,"Very Good","H","SI1",62.4,58,2426,5.71,5.76,3.58
2.25,"Very Good","J","SI2",58.4,63,13597,8.6,8.65,5.04
1,"Very Good","F","SI2",62.4,56,3906,6.31,6.35,3.95
0.5,"Very Good","E","VS2",63,58,1386,5.07,5.09,3.2
0.93,"Ideal","H","SI1",61.7,55,4317,6.26,6.29,3.87
0.42,"Ideal","G","SI2",60.9,56,971,4.87,4.89,2.97
1.59,"Premium","G","SI1",62.1,58,10996,7.45,7.43,4.62
1.24,"Ideal","H","SI2",62,56,5902,6.9,6.87,4.27
0.32,"Ideal","E","VS2",62.1,55,900,4.4,4.36,2.72
2.01,"Ideal","I","SI1",62.8,57,10389,8.04,7.98,5.03
0.31,"Premium","H","SI1",62.7,58,558,4.34,4.31,2.71
1.06,"Ideal","G","SI1",62,56,5159,6.52,6.55,4.05
0.9,"Premium","G","SI2",59.9,58,3492,6.22,6.27,3.74
1.05,"Ideal","G","VS2",60.8,57,6486,6.58,6.65,4.02
1,"Premium","G","SI1",60,62,4189,6.48,6.45,3.88
0.51,"Ideal","G","VVS1",62.6,57,2111,5.14,5.08,3.2
0.41,"Ideal","F","VS2",60.8,56,1107,4.81,4.8,2.92
0.72,"Ideal","H","SI1",61.7,54,2359,5.77,5.81,3.57
1.14,"Ideal","I","VS2",62.9,56,5075,6.71,6.67,4.21
1.06,"Very Good","E","IF",62.4,55,12642,6.5,6.54,4.07
1,"Very Good","I","VS2",63.2,58,3265,6.43,6.32,4.03
0.32,"Premium","H","SI2",61.8,55,517,4.42,4.35,2.71
0.5,"Very Good","H","VS2",62.3,57,1337,5.03,5.12,3.16
1.08,"Ideal","H","SI1",60.5,57,6426,6.63,6.67,4.02
1.2,"Premium","E","VVS2",62.1,58,11301,6.76,6.7,4.18
0.32,"Very Good","F","VS2",60.2,59,645,4.4,4.43,2.66
0.51,"Very Good","I","VS1",62.5,59,1301,5.1,5.14,3.2
0.4,"Ideal","F","VVS2",62.4,57,1163,4.73,4.69,2.94
1,"Very Good","E","SI1",60.9,59,5082,6.38,6.43,3.9
0.3,"Ideal","F","VVS1",61.8,54,802,4.33,4.37,2.69
1.02,"Very Good","F","SI2",60.3,59,4241,6.5,6.53,3.93
1.1,"Very Good","F","I1",59.8,61,3678,6.65,6.7,3.99
1.01,"Fair","F","VS2",65.2,52,5090,6.31,6.29,4.11
0.51,"Very Good","E","VS1",60,57,1717,5.18,5.25,3.13
1.01,"Very Good","I","SI1",62.1,59,4418,6.36,6.42,3.97
0.5,"Good","D","VS2",63.3,54,1635,5.04,5.07,3.2
0.23,"Ideal","F","VVS2",61,57,530,3.98,4.02,2.44
1.27,"Ideal","I","SI2",62.1,56,5154,6.92,6.96,4.31
0.28,"Ideal","E","VVS2",60.3,57,828,4.25,4.21,2.55
0.33,"Ideal","E","SI1",62.5,55,743,4.45,4.42,2.77
0.28,"Very Good","H","VVS1",62.9,54,525,4.2,4.23,2.65
0.3,"Ideal","D","SI1",61.9,54,709,4.34,4.32,2.68
0.31,"Very Good","H","VS1",63.2,57,698,4.32,4.29,2.72
1.59,"Ideal","H","VS1",61.8,56,14031,7.49,7.53,4.64
