id,arrest,fin,age,race,wexp,mar,paro,prio,educ,emp
55,0,no,28,black,yes,yes,yes,1,5,yes
56,0,no,32,other,yes,no,no,3,3,no
57,0,no,33,black,yes,yes,yes,1,4,no
58,0,no,26,black,no,no,yes,1,3,yes
59,0,yes,20,black,yes,no,yes,0,3,yes
60,0,yes,42,black,yes,no,no,9,4,yes
61,1,no,19,black,no,no,no,6,3,no
62,0,no,22,black,yes,no,no,2,4,no
63,0,no,22,black,no,no,yes,5,4,no
64,0,no,36,black,no,no,no,11,3,no
65,1,no,23,black,yes,no,no,2,4,no
66,0,yes,27,black,yes,no,yes,3,3,yes
67,0,yes,21,black,no,no,yes,1,3,yes
68,0,yes,22,black,yes,no,yes,2,3,no
69,1,no,35,black,yes,no,yes,3,3,no
70,0,no,21,black,yes,no,yes,4,3,no
71,0,yes,25,black,yes,no,yes,5,3,no
72,0,no,18,black,no,no,yes,0,3,no
73,0,yes,26,black,yes,no,yes,2,4,yes
74,0,no,30,black,yes,no,no,4,3,yes
75,0,no,20,black,no,no,yes,2,4,yes
76,0,yes,43,black,yes,no,yes,1,4,yes
77,1,no,23,black,yes,yes,yes,4,3,no
78,0,no,42,other,yes,no,no,2,5,yes
79,0,no,21,other,no,no,no,2,3,no
80,1,no,19,black,no,no,no,3,3,no
81,1,no,29,black,no,no,no,4,3,no
82,0,no,30,black,yes,no,yes,3,3,no
83,0,yes,21,other,yes,yes,yes,10,3,yes
84,0,no,20,black,no,no,yes,7,3,no
85,1,yes,19,black,no,no,yes,10,3,no
86,0,yes,22,black,yes,no,yes,1,5,no
87,0,no,25,black,no,no,yes,3,3,no
88,1,no,22,black,no,no,no,4,4,yes
89,0,yes,22,black,yes,no,yes,4,3,no
90,0,yes,24,black,no,no,yes,2,4,no
91,0,no,39,black,yes,yes,yes,4,3,yes
92,0,no,21,black,yes,no,yes,1,3,yes
93,0,yes,20,black,yes,no,yes,2,3,yes
94,0,yes,24,black,no,no,no,1,3,yes
95,0,no,25,black,yes,no,yes,2,5,no
96,1,yes,21,black,yes,no,no,4,3,no
97,0,yes,20,black,no,no,yes,1,3,yes
98,0,yes,19,black,no,no,yes,3,4,no
99,0,yes,24,black,no,no,no,2,4,yes
100,0,yes,24,black,yes,no,yes,1,4,yes
101,1,no,44,black,yes,no,yes,2,5,no
102,1,no,32,black,yes,no,no,2,4,yes
103,0,no,23,black,yes,no,no,3,3,no
104,1,yes,19,black,no,no,yes,1,4,no
105,0,no,20,black,no,no,yes,1,3,yes
106,1,no,27,black,yes,no,yes,0,3,no
107,1,no,19,black,no,no,no,6,3,no
108,0,yes,21,black,yes,no,no,1,3,yes
109,0,no,20,black,no,no,yes,1,4,no
110,0,no,25,black,no,no,yes,3,3,yes
111,0,no,20,black,no,no,yes,6,3,no
112,0,yes,23,black,yes,no,yes,3,4,yes
113,0,no,20,black,no,no,no,2,3,no
114,0,yes,30,black,yes,no,no,1,4,no
115,0,no,25,black,yes,yes,yes,0,4,yes
116,0,no,22,black,yes,no,yes,1,3,no
117,0,no,24,black,yes,no,yes,3,3,yes
118,0,yes,18,black,no,no,no,4,3,yes
119,1,yes,40,black,yes,no,yes,1,5,no
120,0,no,22,black,no,no,yes,1,5,yes
121,0,yes,23,black,no,no,yes,6,3,no
122,1,no,21,black,yes,no,yes,1,3,no
123,0,yes,24,other,yes,yes,yes,2,3,no
124,0,yes,24,black,no,no,yes,14,3,no
125,0,no,38,black,yes,no,yes,2,3,no
126,0,no,26,other,yes,no,no,3,3,no
127,0,yes,29,black,yes,no,no,1,3,no
128,0,no,21,black,no,no,yes,8,3,yes
129,0,yes,21,black,yes,yes,yes,2,4,yes
130,0,no,22,other,no,no,yes,4,3,yes
131,1,no,23,black,no,no,yes,5,3,no
132,0,no,27,black,yes,no,no,2,4,yes
133,0,yes,18,black,no,no,yes,2,3,no
134,1,no,23,black,no,no,no,5,3,no
135,0,yes,24,black,no,no,yes,2,3,yes
136,0,yes,21,black,no,no,no,3,4,yes
137,0,yes,20,black,no,no,yes,4,3,no
138,0,yes,27,black,yes,no,no,4,3,yes
139,1,yes,20,black,no,no,yes,11,4,no
140,0,yes,29,black,yes,yes,yes,5,4,no
141,1,no,19,black,no,no,no,10,4,no
142,0,no,20,black,no,no,no,8,3,no
143,0,yes,18,black,no,no,yes,0,3,no
144,1,yes,19,black,no,no,yes,2,3,no
145,0,yes,24,black,yes,no,yes,1,5,yes
146,0,no,28,other,yes,no,yes,4,3,no
147,0,yes,26,black,no,no,no,4,3,no
148,0,yes,17,black,no,no,yes,0,3,no
149,0,no,21,black,no,no,yes,3,3,yes
150,1,no,34,black,yes,no,no,2,3,yes
151,0,yes,26,black,yes,no,no,1,4,yes
152,0,yes,43,black,yes,no,yes,2,5,yes
153,0,no,20,black,no,no,yes,0,4,no
154,1,no,20,black,yes,no,yes,1,3,yes
155,0,no,32,black,yes,no,yes,1,4,yes
156,1,no,25,other,yes,no,yes,1,3,no
157,0,yes,22,black,no,no,yes,1,3,yes
158,0,yes,31,other,yes,no,yes,1,3,no
159,0,yes,42,black,yes,yes,yes,4,3,yes
160,0,yes,32,black,yes,no,no,10,3,no
161,0,yes,20,black,no,no,no,8,3,yes
162,0,no,20,other,no,no,no,1,3,no
163,0,yes,36,black,no,no,yes,8,3,yes
164,0,yes,34,black,yes,no,yes,2,3,yes
165,0,yes,28,black,yes,yes,yes,3,3,yes
166,0,yes,21,black,yes,no,yes,2,3,yes
167,0,no,18,other,no,no,yes,6,3,no
168,0,yes,20,other,no,no,yes,4,3,yes
169,0,no,17,other,no,no,yes,3,3,yes
170,0,yes,44,black,no,no,yes,3,3,no
171,0,yes,30,black,yes,no,yes,5,4,no
172,0,yes,22,black,no,no,no,11,3,yes
173,1,yes,30,black,no,no,no,3,4,no
174,1,no,23,black,no,no,no,8,3,no
175,0,yes,20,black,yes,no,no,2,4,yes
176,0,no,19,black,no,no,no,10,3,yes
177,0,yes,21,black,no,no,yes,1,4,no
178,0,yes,22,black,no,no,yes,6,5,no
179,0,yes,19,black,no,no,yes,2,3,no
180,0,yes,21,black,no,no,no,10,3,no
181,1,no,38,black,no,no,yes,3,3,no
182,0,yes,24,black,no,no,no,7,4,no
183,0,yes,39,black,yes,yes,no,2,5,yes
184,1,no,30,black,no,no,yes,3,3,no
185,0,no,37,black,yes,no,no,0,3,yes
186,0,yes,23,black,no,no,yes,2,5,no
187,0,no,21,other,no,no,yes,1,3,no
188,0,yes,31,black,yes,no,yes,1,3,no
189,0,yes,24,black,no,no,no,13,4,yes
190,0,no,31,other,yes,yes,yes,3,3,no
191,0,no,24,black,no,no,yes,2,5,yes
192,0,yes,24,black,yes,no,yes,1,5,yes
193,0,yes,21,other,yes,no,no,1,3,yes
194,0,yes,22,black,no,no,no,2,3,no
195,1,no,20,black,no,no,yes,5,3,no
196,0,yes,21,black,yes,no,yes,0,4,yes
197,0,yes,24,black,yes,no,yes,2,3,yes
198,0,no,25,black,yes,no,yes,1,3,yes
199,0,no,19,black,no,no,yes,1,3,no
200,0,no,20,other,no,no,no,2,3,yes
201,0,no,20,black,yes,no,yes,4,3,no
202,1,no,24,black,yes,no,no,1,4,no
203,0,yes,18,black,no,no,no,4,3,no
204,1,yes,28,black,no,no,yes,5,3,no
205,1,yes,19,black,no,no,no,4,3,no
206,0,no,19,black,yes,no,no,1,4,no
207,0,no,25,black,yes,yes,no,0,4,yes
208,0,yes,19,other,no,no,no,1,3,no
209,0,yes,25,black,no,no,no,2,5,yes
210,1,no,24,black,no,no,no,0,3,no
211,0,yes,20,black,yes,no,yes,1,4,yes
212,0,yes,30,black,no,no,yes,1,3,no
213,0,no,29,black,yes,no,yes,4,4,yes
214,0,no,28,other,yes,yes,yes,4,3,no
215,0,yes,36,black,no,no,yes,1,3,no
216,0,yes,23,black,yes,no,no,7,3,yes
217,0,yes,23,black,no,no,no,2,5,yes
218,0,no,24,black,yes,no,yes,4,3,no
219,0,no,29,black,yes,yes,yes,1,3,yes
220,0,no,26,black,yes,yes,yes,2,3,yes
221,0,no,39,other,yes,yes,no,3,3,no
222,0,yes,20,black,yes,no,yes,1,3,no
223,0,no,23,black,yes,no,yes,3,4,yes
224,0,yes,21,black,yes,no,yes,2,4,no
225,0,yes,21,black,no,no,yes,1,3,yes
226,1,yes,20,other,no,no,yes,2,3,no
227,0,yes,20,other,no,no,yes,3,3,yes
228,0,yes,27,black,yes,no,yes,2,3,yes
229,1,no,18,other,yes,no,no,3,3,yes
230,1,yes,25,black,yes,no,no,1,4,no
231,1,yes,20,black,no,no,no,6,3,no
232,0,yes,20,black,yes,no,no,5,5,yes
233,1,no,20,other,no,no,no,7,3,no
234,0,no,24,other,yes,yes,no,11,3,no
235,0,yes,23,black,no,no,no,1,3,yes
236,1,no,28,black,yes,no,no,4,4,no
237,0,no,21,black,no,no,no,2,4,no
238,0,no,25,black,no,no,no,1,3,no
239,0,no,24,black,yes,no,yes,1,4,yes
240,0,no,29,black,yes,yes,no,3,5,no
241,0,no,22,black,yes,yes,yes,2,4,yes
242,1,no,28,black,no,no,yes,18,3,no
243,0,no,19,black,no,no,yes,1,4,no
244,0,no,20,black,yes,no,yes,1,5,no
245,1,no,20,black,no,no,yes,5,3,no
246,1,yes,22,black,yes,no,yes,1,3,no
247,0,no,20,black,no,no,yes,8,3,no
248,0,yes,21,black,no,no,yes,2,4,yes
249,0,yes,21,black,yes,no,yes,1,4,no
250,1,no,19,black,no,no,yes,3,3,no
251,0,no,26,black,yes,no,yes,1,3,yes
252,0,no,23,black,yes,yes,yes,2,3,no
253,0,yes,22,other,yes,no,yes,4,3,yes
254,0,yes,24,black,yes,no,no,8,4,no
255,0,yes,40,black,no,no,no,5,3,no
256,0,yes,32,black,no,no,no,2,3,yes
257,0,no,38,black,yes,no,no,0,4,no
258,0,no,26,black,yes,no,yes,1,3,no
259,1,yes,27,black,yes,no,yes,0,5,no
260,0,no,29,black,yes,yes,yes,3,4,yes
261,1,no,20,black,yes,no,yes,4,4,no
262,0,no,22,black,no,no,no,1,3,yes
263,0,no,22,other,no,no,no,5,4,yes
264,1,yes,19,black,yes,no,no,12,4,no
265,0,no,22,black,yes,no,no,1,3,yes
266,0,no,19,black,no,no,no,3,3,yes
267,0,yes,32,black,yes,no,no,1,3,yes
268,0,yes,25,black,yes,no,yes,2,4,yes
269,1,no,21,black,no,no,yes,2,3,yes
270,0,yes,36,black,yes,no,yes,1,3,no
271,1,no,40,black,yes,no,no,2,3,no
272,1,yes,20,black,no,no,yes,1,3,yes
273,1,yes,19,black,no,no,yes,0,4,no
274,0,no,18,black,no,no,yes,4,4,no
275,0,yes,28,black,yes,no,no,0,4,yes
276,0,yes,22,black,yes,no,no,2,4,yes
277,0,yes,25,black,no,no,yes,1,5,no
278,0,yes,28,black,yes,no,no,2,3,no
279,0,yes,25,black,yes,no,no,2,3,no
280,0,yes,20,black,yes,no,no,4,5,no
281,0,yes,24,black,no,no,no,5,3,no
282,0,no,24,black,yes,no,no,0,4,yes
283,0,yes,36,other,yes,no,yes,2,4,no
284,0,yes,34,black,yes,no,no,1,5,yes
285,1,no,19,black,yes,no,yes,5,3,no
286,1,yes,23,black,no,no,yes,1,3,no
287,1,no,19,black,yes,no,yes,3,3,no
288,0,yes,40,black,yes,no,no,2,4,yes
289,0,yes,31,black,yes,no,no,2,4,yes
290,0,no,23,black,yes,yes,yes,0,4,yes
291,0,no,42,black,no,no,yes,2,3,no
292,1,yes,26,black,yes,yes,yes,1,5,no
293,0,no,20,black,no,no,yes,9,3,no
294,1,no,27,black,yes,no,yes,1,5,no
295,0,yes,24,black,no,no,no,5,3,yes
296,0,no,25,black,no,no,no,2,5,no
297,0,yes,22,black,yes,no,yes,3,4,yes
298,0,yes,20,black,no,no,yes,2,4,no
299,0,yes,20,black,yes,no,yes,2,4,no
300,1,no,22,black,no,no,yes,3,3,no
301,0,no,18,black,yes,no,yes,1,4,yes
302,0,no,20,black,yes,no,yes,2,3,yes
303,1,no,20,black,yes,no,yes,1,3,no
304,0,no,22,black,yes,no,yes,2,4,no
305,0,yes,30,black,yes,yes,no,2,3,no
306,0,no,36,other,yes,no,no,1,5,yes
307,0,no,25,other,yes,yes,yes,5,3,yes
308,1,no,29,black,no,no,yes,3,3,no
309,0,no,19,black,yes,no,yes,3,4,no
310,0,yes,24,black,yes,no,yes,2,3,yes
311,0,yes,21,black,no,no,no,0,3,no
312,0,yes,35,black,yes,no,yes,6,3,yes
313,0,yes,19,other,yes,no,no,4,3,no
314,1,no,20,black,no,no,no,0,3,no
315,1,no,22,other,no,no,no,3,3,no
316,1,no,23,black,yes,no,no,1,3,no
317,1,no,19,black,no,no,no,18,4,no
318,0,no,18,black,no,no,yes,3,3,yes
319,0,yes,38,other,yes,no,yes,2,3,yes
320,0,yes,18,other,no,no,yes,6,4,no
321,0,no,22,black,yes,yes,yes,1,4,no
322,1,no,21,black,no,no,yes,3,3,yes
323,0,no,21,black,yes,no,yes,1,4,yes
324,1,yes,21,black,no,no,yes,5,3,no
325,1,yes,17,black,no,no,yes,3,3,no
326,0,yes,22,black,yes,no,yes,1,4,no
327,0,yes,23,black,yes,yes,yes,0,5,yes
328,1,yes,19,black,no,no,yes,4,3,no
329,0,yes,21,black,yes,no,no,1,4,no
330,0,yes,35,black,yes,no,no,5,3,yes
331,1,no,23,black,yes,no,no,8,3,no
332,0,yes,22,black,no,no,no,2,4,yes
333,1,yes,25,black,no,no,no,11,3,no
334,0,yes,20,black,yes,no,no,4,3,no
335,1,yes,19,other,no,no,no,1,3,no
336,0,no,20,black,no,no,no,1,5,no
337,0,yes,41,other,yes,yes,yes,3,3,yes
338,1,no,23,other,yes,no,yes,4,3,no
339,1,yes,26,black,yes,no,no,0,3,yes
340,0,no,26,black,no,no,no,2,3,yes
341,0,yes,38,black,yes,no,yes,1,4,no
342,0,no,27,black,yes,no,yes,1,5,no
343,1,yes,19,black,no,no,yes,3,3,no
344,0,no,25,black,yes,no,no,1,3,no
345,0,yes,30,black,yes,no,no,2,3,yes
346,0,yes,42,black,yes,no,no,1,5,yes
347,1,no,20,black,yes,no,yes,2,3,no
348,0,yes,23,black,yes,no,yes,1,4,yes
349,0,no,21,black,no,no,yes,3,3,yes
350,1,yes,20,black,yes,no,no,3,3,no
351,1,no,17,black,no,no,no,1,4,no
352,1,yes,26,black,no,yes,no,5,3,yes
353,0,yes,24,black,yes,no,yes,1,3,yes
354,0,no,37,black,yes,yes,yes,1,3,yes
355,0,no,28,black,yes,yes,yes,1,5,no
356,0,no,33,black,yes,no,yes,0,4,yes
357,1,yes,22,black,no,no,yes,4,3,yes
358,0,no,25,black,yes,yes,yes,2,5,yes
359,1,no,20,other,no,yes,no,10,3,no
360,0,no,20,black,no,no,no,1,4,yes
361,1,yes,24,other,yes,no,no,4,3,yes
362,1,yes,26,other,no,no,no,11,5,no
363,1,yes,26,black,yes,no,yes,1,4,no
364,0,no,25,other,yes,no,yes,1,5,no
365,0,no,26,black,yes,no,yes,1,4,yes
366,1,yes,23,black,no,no,no,3,3,no
367,0,yes,28,black,no,no,yes,4,3,yes
368,0,no,27,black,yes,no,yes,0,5,yes
369,0,yes,23,black,no,no,no,3,4,no
370,0,no,17,black,no,no,yes,7,3,no
371,0,no,20,other,no,no,yes,4,5,no
372,0,yes,20,black,no,no,yes,5,3,no
373,0,yes,20,other,no,no,yes,9,3,no
374,1,yes,22,black,yes,no,yes,2,4,yes
375,0,no,31,black,no,no,yes,1,3,no
376,0,no,43,black,yes,no,no,1,5,no
377,0,no,29,black,yes,no,no,1,4,no
378,0,yes,21,black,no,no,no,0,4,no
379,0,no,24,other,yes,no,no,2,3,yes
380,0,yes,30,black,yes,yes,no,3,4,no
381,0,no,22,black,yes,no,no,0,5,no
382,0,yes,26,black,yes,yes,no,1,4,yes
383,1,yes,20,black,yes,no,no,0,3,no
384,0,no,23,black,yes,no,no,6,4,no
385,0,no,25,black,yes,no,yes,5,3,yes
386,0,yes,40,black,yes,no,yes,2,5,no
387,0,yes,30,black,yes,yes,yes,0,3,yes
388,1,no,22,black,no,yes,yes,2,3,no
389,1,no,18,black,no,no,yes,2,4,no
390,0,no,18,black,no,no,yes,0,3,no
391,0,no,24,black,yes,no,yes,2,5,yes
392,0,yes,25,black,yes,yes,yes,2,5,yes
393,1,yes,19,black,no,no,yes,2,3,no
394,0,no,24,black,yes,no,yes,2,3,yes
395,1,no,24,black,no,yes,yes,2,3,yes
396,0,no,18,black,yes,no,yes,3,5,yes
397,1,yes,18,black,yes,no,yes,0,4,no
398,0,no,23,black,yes,no,no,0,3,yes
399,0,no,20,black,no,no,yes,2,3,no
400,1,yes,18,black,yes,no,yes,1,3,no
401,0,no,23,black,yes,no,yes,2,5,no
402,0,yes,20,black,no,no,yes,1,3,no
403,0,no,23,black,no,no,no,5,3,no
404,0,no,23,black,yes,no,yes,1,4,no
405,0,no,23,black,yes,yes,yes,2,3,yes
406,1,no,20,black,yes,no,yes,4,3,no
407,0,yes,26,black,yes,yes,no,4,3,yes
408,0,yes,30,black,no,no,no,1,3,yes
409,0,yes,36,other,yes,no,no,4,3,no
410,0,yes,43,black,yes,no,no,4,3,no
411,1,no,20,other,yes,no,no,1,3,no
412,0,yes,24,black,yes,no,yes,1,3,yes
413,0,no,22,black,yes,no,no,1,3,yes
414,0,yes,20,black,no,yes,no,1,3,no
415,1,no,21,black,no,no,no,0,3,no
416,1,yes,18,black,no,no,no,5,3,no
417,1,no,18,black,yes,no,no,1,4,no
418,1,no,33,black,yes,no,yes,2,4,yes
419,1,yes,19,black,no,no,yes,2,3,no
420,0,yes,21,other,yes,no,yes,1,5,yes
421,0,yes,21,black,no,no,yes,1,4,yes
422,1,yes,21,black,yes,no,yes,4,3,yes
423,1,yes,22,black,no,no,yes,3,4,no
424,0,no,18,black,no,no,yes,3,3,yes
425,1,no,18,black,no,no,no,2,3,no
426,0,no,24,black,yes,no,yes,2,4,yes
427,1,yes,22,black,yes,yes,yes,2,4,no
428,0,yes,31,other,yes,no,yes,3,3,no
429,0,no,20,black,no,no,yes,1,4,no
430,0,yes,20,black,yes,yes,yes,1,3,no
431,0,no,29,black,yes,no,yes,3,4,yes
432,0,yes,24,black,yes,no,yes,1,4,yes
